Game (459 total),Genre,Year Released,Year Beaten,Platform,Rating,,,
Smash Smash Bros Ultimate,Party,2018,2018,NSW,3,,,
Tales of Graces f,JRPG,2010,,PS3,3,,,
Tarzan,2D Platformer,1999,2020,N64,3,,,
The Legend of Zelda: Breath of the Wild,Adventure,2017,2017,Wii U,3,,,
The Legend of Zelda: Majora's Mask,Adventure,2000,2014,N64,3,,,
Theatrhythm Final Fantasy,Rhythm,2012,2013,3DS,3,,,
Time Zone,2D Platformer,1991,2013,NES,3,,,
Tony Hawk's Pro Skater 2,Extreme Sports,2001,,GBA,3,,,
Tony Hawk's Pro Skater 3,Extreme Sports,2002,,GBA,3,,,
Touch My Katamari,WTF,2011,2015,PSV,3,,,
Uncharted: Drake's Fortune,TPS,2007,2020,PS3,3,,,
Uncharted 4,TPS,2016,2017,PS4,3,,,
Vigilante 8,WTF,1999,2020,N64,3,,,
WarioWare: DIY,WTF,2009,,NDS,3,,,
Wave Race 64,Racing,1996,2019,N64,3,,,
Whirl Tour,Extreme Sports,2002,2019,PS2,3,,,
Yakuza 6,ARPG,2016,2019,PS4,3,,,
Yakuza: Like a Dragon,JRPG,2020,2020,PC,3,,,
Yoshi's Story,2D Platformer,1997,,N64,3,,,
Ys 1,ARPG,2008,,NDS,3,,,
Zero Escape: Zero Time Dilemma,VN,2016,2016,3DS,3,,,
Zone of the Enders,Action,2001,2016,PS2,3,,,
Zoombinis,Puzzle,1996,,PC,3,,,
007: The World Is Not Enough,FPS,2000,2019,N64,2,,,
Ace Combat X,Flight,2006,,PSP,2,,,
Aggressive Inline,Extreme Sports,2002,2019,XBOX,2,,,
Army Men: Sarge's Heroes,TPS,1999,2020,N64,2,,,
Around the World in 80 Days,2D Platformer,2004,,GBA,2,,,
Assault Android Cactus,Action,2015,2016,PC,2,,,
Babe & Friends,Puzzle,1999,,GBC,2,,,
BattleBots Design & Destroy,Action,2003,,GBA,2,,,
Battlefield Bad Company,FPS,2008,2010,PS3,2,,,
Battlefield Bad Company 2,FPS,2010,2021,PC,2,,,
Battlefield 3,FPS,2011,2021,PC,2,,,
Beetle Adventure Racing!,Racing,1999,2020,N64,2,,,
Bioshock,FPS,2007,2010,PS3,2,,,
Buck Bumble,Flight,1998,2019,N64,2,,,
Closure,Puzzle,2012,,PC,2,,,
Cool Spot,2D Platformer,1993,,GEN,2,,,
Crayola Scoot,Extreme Sports,2018,2019,NSW,2,,,
Crayon Physics Deluxe,Puzzle,2009,,PC,2,,,
Dark,Stealth,2013,,X360,2,,,
Darksiders,Adventure,2010,,PC,2,,,
Dinosaurs For Hire,Shooter,1993,,GEN,2,,,
Disney's Extreme Skate Adventure,Extreme Sports,2003,2019,XBOX,2,,,
Donkey Kong 64,3D Platformer,1999,,N64,2,,,
Donkey Kong Jungle Beat,2D Platformer,2004,,GCN,2,,,
Duke Nukem Advance,FPS,2002,2017,GBA,2,,,
Egg Mania,Puzzle,2002,,GBA,2,,,
El Shaddai: Ascension of the Metatron,Action,2011,,PS3,2,,,
Flashback,2D Platformer,1992,,GEN,2,,,
Frogger's Adventures: Temple of the Frog,Adventure,2001,,GBA,2,,,
Geist,FPS,2005,,GCN,2,,,
Gex 64: Enter the Gecko,3D Platformer,1998,2021,N64,2,,,
Gigantic Army,Shooter,2014,,PC,2,,,
Golden Nugget,WTF,1996,2019,PS1,2,,,
Guitar Hero: World Tour,Rhythm,2008,2009,Wii,2,,,
Harry Potter and the Sorcerer's Stone,Adventure,2001,2021,PS1,2,,,
Haven: Call of the King,3D Platformer,2002,,PS2,2,,,
Jak 3,Open World,2004,,PS2,2,,,
Joe Danger 2: The Movie,WTF,2012,,PC,2,,,
Killzone: Mercenary,FPS,2013,,PSV,2,,,
Killzone: Shadow Fall,FPS,2013,2020,PS4,2,,,
Kingdom Hearts II,ARPG,2005,2019,PS2,2,,,
Kirby 64,2D Platformer,2000,,N64,2,,,
Kirby's Dream Land,2D Platformer,1992,,GB,2,,,
Klonoa,2D Platformer,2009,,Wii,2,,,
Lair,Flight,2007,,PS3,2,,,
Lego Star Wars II,Adventure,2006,,GCN,2,,,
LIMBO,2D Platformer,2010,,PC,2,,,
LocoRoco,WTF,2006,,PSP,2,,,
Lost: Via Domus,Adventure,2008,2020,PS3,2,,,
Mass Effect,WRPG,2007,,X360,2,,,
Mass Effect 2,WRPG,2010,,X360,2,,,
Me and My Katamari,WTF,2005,,PSP,2,,,
Mega Man,2D Platformer,1987,,NES,2,,,
Metal Gear Solid V: The Phantom Pain,Stealth,2015,2015,PC,2,,,
Metroid II: Return of Samus,Metroidvania,1991,,GB,2,,,
Metroid Prime 2: Echoes,FPS,2004,,GCN,2,,,
Metroid Prime 3: Corruption,FPS,2007,,Wii,2,,,
Mirror's Edge: Catalyst,3D Platformer,2016,2021,PC,2,,,
Mortal Kombat Mythologies: Sub-Zero,2D Platformer,1997,2020,N64,2,,,
Ms. Pac-Man Maze Madness,Puzzle,2000,2020,N64,2,,,
Muramasa the Demon Blade,Action,2009,,PSV,2,,,
Nicktoons: Battle for Volcano Island,Beat 'Em Up,2006,,GCN,2,,,
NightSky,Puzzle,2011,,PC,2,,,
Pandemonium 2,2D Platformer,1997,,PS1,2,,,
Pilotwings 64,Flight,1996,2019,N64,2,,,
Power Rangers: Lightspeed Rescue,WTF,2000,2020,N64,2,,,
Ratchet & Clank,3D Platformer,2002,,PS2,2,,,
Razor Freestyle Scooter,Extreme Sports,2000,2019,N64,2,,,
Re-Volt,Racing,1999,2019,N64,2,,,
Runner2: Future Legend of Rhythm Alien,Rhythm,2013,,PC,2,,,
Scooby Doo: Night of 100 Frights,3D Platformer,2002,2018,GCN,2,,,
Senran Kagura Burst,Beat 'Em Up,2012,,3DS,2,,,
Serious Sam Double D XXL,Shooter,2013,,PC,2,,,
Shadow the Hedgehog,3D Platformer,2005,,GCN,2,,,
Sly 3,3D Platformer,2005,,PS2,2,,,
Sonic Colors,3D Platformer,2010,,Wii,2,,,
Sonic Generations,3D Platformer,2011,,PS3,2,,,
Sonic Lost World,3D Platformer,2013,2020,PC,2,,,
Star Wars Trilogy: Apprentice of the Force,2D Platformer,2004,2020,GBA,2,,,
Strider,Metroidvania,2014,,PC,2,,,
Super Mario 3D Land,3D Platformer,2011,,3DS,2,,,
Super Mario 64 DS,3D Platformer,2004,2020,NDS,2,,,
Super Mario Bros 2,2D Platformer,1988,2018,SNES,2,,,
Super Mario Bros: The Lost Levels,2D Platformer,1986,2019,SNES,2,,,
Super Mario Galaxy 2,3D Platformer,2010,,Wii,2,,,
Super Paper Mario,2D Platformer,2007,,Wii,2,,,
Super R-Type,Shmup,1991,,SNES,2,,,
Super Smash Bros Brawl,Party,2008,,Wii,2,,,
The Darkness 2,FPS,2012,,X360,2,,,
The Godfather,Open World,2006,2020,X360,2,,,
The Legend of Zelda: Tri Force Heroes,Adventure,2015,,3DS,2,,,
Tigger's Honey Hunt,2D Platformer,2000,2020,N64,2,,,
Tomb Raider,TPS,2013,2013,PC,2,,,
Tony Hawk's Pro Skater 4,Extreme Sports,2002,,GBA,2,,,
Toy Story 2,3D Platformer,1999,2019,N64,2,,,
Ty 2 Bush Rescue,Open World,2004,,GCN,2,,,
Urban Chaos: Riot Response,FPS,2006,,PS2,2,,,
Venetica,WRPG,2010,,X360,2,,,
World of Illusion Starring Mickey Mouse,2D Platformer,1992,,GEN,2,,,
Yakuza Dead Souls,TPS,2011,2020,PS3,2,,,
Yakuza Kiwami,ARPG,2017,2021,PC,2,,,
A Bug's Life,3D Platformer,1998,2020,N64,1,,,
Ace Combat: Assault Horizon,Flight,2011,,PC,1,,,
Bad Rats,Puzzle,2009,,PC,1,,,
Blues Brothers 2000,3D Platformer,2000,2020,N64,1,,,
Braid,Puzzle,2008,,PC,1,,,
CatDog: Quest for the Golden Hydrant,WTF,1999,,PC,1,,,
Dual Heroes,Fighting,1997,2019,N64,1,,,
Elf: The Movie,2D Platformer,2004,2020,GBA,1,,,
Glover,3D Platformer,1998,2019,N64,1,,,
Greg Hastings' Tournament Paintball MAX'D,FPS,2005,,GBA,1,,,
Hercules: The Legendary Journeys,Adventure,2000,2020,N64,1,,,
Jak 2,Open World,2003,,PS2,1,,,
Kabuki Warriors,Fighting,2001,,XBOX,1,,,
Madagascar,3D Platformer,2005,,GCN,1,,,
Mecho Tales,2D Platformer,2017,2020,NSW,1,,,
